activator,blocker,gate,n_patients,tumor_q10,tumor_median,tumor_mean,benign_prostate_median,benign_prostate_worst,worst_healthy_all,worst_healthy_all_tissue,worst_healthy_all_celltype,worst_healthy_xprostate,worst_xp_tissue,worst_xp_celltype,malignant_vs_benign,selectivity_xprostate
CD276,EPCAM,NOT,18,0.0,0.0030694455,0.008665312,0.021327136,0.06451613,0.5165888,skin of body,fibroblast,0.5165888,skin of body,fibroblast,-0.01825769,-0.51351935
ERBB2,HPN,NOT,18,0.0272479921579361,0.1463097,0.14282542,0.31253785,0.5635104,0.66057694,lung,respiratory goblet cell,0.66057694,lung,respiratory goblet cell,-0.16622815,-0.5142672
CD276,CDH1,NOT,18,0.0,0.03587301,0.04237865,0.034335397,0.06666666,0.55445546,uterus,myofibroblast cell,0.55445546,uterus,myofibroblast cell,0.0015376136,-0.51858246
ERBB2,FOLH1,NOT,18,0.014914582669734958,0.10102782,0.11332904,0.2713269,0.5311778,0.6203602,pancreas,pancreatic ductal cell,0.6203602,pancreas,pancreatic ductal cell,-0.17029908,-0.5193324
ERBB2,STEAP4,NOT,18,0.012702228128910066,0.08022308,0.101405054,0.21548523,0.32950193,0.60264784,heart,regular atrial cardiac myocyte,0.60264784,heart,regular atrial cardiac myocyte,-0.13526215,-0.52242476
SLC45A3,STEAP1,NOT,18,0.022222238779067996,0.08599511,0.094756365,0.04959324,0.11221123,0.6097561,blood,basophil,0.6097561,blood,basophil,0.036401868,-0.52376103
STEAP4,CD46,NOT,18,0.0,0.017496735,0.039621662,0.034861796,0.19999996,0.54545456,kidney,neutrophil,0.54545456,kidney,neutrophil,-0.01736506,-0.5279578
STEAP2,FOLH1,NOT,18,0.044469863176345825,0.2290476,0.2502475,0.30668283,0.43187067,0.757732,pancreas,fibroblast,0.757732,pancreas,fibroblast,-0.07763523,-0.5286844
CD276,TACSTD2,NOT,18,0.0,0.011460766,0.012750108,0.015241601,0.057777777,0.5445545,uterus,myofibroblast cell,0.5445545,uterus,myofibroblast cell,-0.0037808344,-0.5330937
CD276,TMPRSS2,NOT,18,0.0,0.001157403,0.009911992,0.041213013,0.085501865,0.5346535,uterus,myofibroblast cell,0.5346535,uterus,myofibroblast cell,-0.04005561,-0.5334961
CD276,KLK2,NOT,18,0.0,0.0,0.005241288,0.044293333,0.0867347,0.5346535,uterus,myofibroblast cell,0.5346535,uterus,myofibroblast cell,-0.044293333,-0.5346535
CD276,STEAP2,NOT,18,0.0,0.0,0.007829021,0.042741794,0.06989247,0.5346535,uterus,myofibroblast cell,0.5346535,uterus,myofibroblast cell,-0.042741794,-0.5346535
MME,ADAM9,NOT,18,0.007890564016997816,0.07488679,0.07822468,0.1331045,0.32727274,0.6162658,heart,neutrophil,0.6162658,heart,neutrophil,-0.05821771,-0.541379
SLC45A3,TACSTD2,NOT,18,0.02279210686683655,0.063966185,0.06968263,0.029557869,0.20444444,0.6097561,blood,basophil,0.6097561,blood,basophil,0.034408316,-0.54578996
STEAP2,CDH1,NOT,18,0.09871050715446472,0.16774893,0.20514292,0.16645563,0.5288889,0.71649486,pancreas,fibroblast,0.71649486,pancreas,fibroblast,0.0012933016,-0.54874593
CD276,SLC45A3,NOT,18,0.0,0.014185809,0.018870693,0.077429846,0.13026819,0.56435645,uterus,myofibroblast cell,0.56435645,uterus,myofibroblast cell,-0.06324404,-0.55017066
FOLH1,TMEFF2,NOT,18,0.08393190875649453,0.30167753,0.3868401,0.08659579,0.3630363,0.8521674,small intestine,enterocyte of epithelium proper of duodenum,0.8521674,small intestine,enterocyte of epithelium proper of duodenum,0.21508174,-0.5504899
ADAM9,TMEFF2,NOT,18,0.08898912072181703,0.3775009,0.3659121,0.29866272,0.44252872,0.9285714,pancreas,intermediate monocyte,0.9285714,pancreas,intermediate monocyte,0.07883817,-0.5510705
STEAP1,FOLH1,NOT,18,0.03524159193038941,0.18828583,0.2060708,0.28774413,0.4089219,0.7428571,endocrine gland,mesothelial cell,0.7428571,endocrine gland,mesothelial cell,-0.09945831,-0.5545713
SLC45A3,EPCAM,NOT,18,0.0,0.0300619,0.059738807,0.034940742,0.16,0.5853659,blood,basophil,0.5853659,blood,basophil,-0.0048788413,-0.555304
NECTIN4,CEACAM5,NOT,18,0.15093070268630981,0.27702454,0.30450356,0.17235039,0.31992337,0.8382218,bladder organ,bladder urothelial cell,0.8382218,bladder organ,bladder urothelial cell,0.104674146,-0.5611973
NECTIN4,MSLN,NOT,18,0.15093070268630981,0.27702454,0.3048333,0.13801163,0.31034482,0.83902943,bladder organ,bladder urothelial cell,0.83902943,bladder organ,bladder urothelial cell,0.1390129,-0.5620049
HPN,ERBB2,NOT,18,0.1348232626914978,0.28648555,0.32513505,0.058208086,0.36444443,0.84906936,liver,hepatocyte,0.84906936,liver,hepatocyte,0.22827747,-0.5625838
CD276,KLK3,NOT,18,0.0,0.0,0.004654162,0.05129504,0.096938774,0.56435645,uterus,myofibroblast cell,0.56435645,uterus,myofibroblast cell,-0.05129504,-0.56435645
ERBB2,STEAP1,NOT,18,0.011174246668815615,0.04047227,0.05035822,0.15673923,0.28927204,0.6053989,heart,regular atrial cardiac myocyte,0.6053989,heart,regular atrial cardiac myocyte,-0.116266966,-0.5649266
FOLR1,TMPRSS2,NOT,18,0.0,0.0,0.0014519426,0.020912271,0.10344828,0.5659574,ovary,glandular epithelial cell,0.5659574,ovary,glandular epithelial cell,-0.020912271,-0.5659574
HPN,TMEFF2,NOT,18,0.0689234733581543,0.38023087,0.355698,0.09468953,0.21189591,0.9472619,liver,hepatocyte,0.9472619,liver,hepatocyte,0.28554136,-0.567031
NECTIN4,SLC34A1,NOT,18,0.15093070268630981,0.27702454,0.3062063,0.17379503,0.37413394,0.847146,eye,corneal epithelial cell,0.847146,eye,corneal epithelial cell,0.10322951,-0.5701214
NECTIN4,CD70,NOT,18,0.15093070268630981,0.27702454,0.3047433,0.17379503,0.37413394,0.84810126,eye,corneal epithelial cell,0.84810126,eye,corneal epithelial cell,0.10322951,-0.57107675
STEAP4,TMEFF2,NOT,18,0.10783218145370485,0.4272587,0.43034992,0.2520576,0.4375,1.0,small intestine,pericyte,1.0,small intestine,pericyte,0.17520109,-0.57274127
NECTIN4,FOLR1,NOT,18,0.15093070268630981,0.27702454,0.30545554,0.1577272,0.29752067,0.85263914,eye,corneal epithelial cell,0.85263914,eye,corneal epithelial cell,0.11929734,-0.5756146
NECTIN4,CDH16,NOT,18,0.15093070268630981,0.2760685,0.30610004,0.17379503,0.37182447,0.8524003,eye,corneal epithelial cell,0.8524003,eye,corneal epithelial cell,0.10227348,-0.5763318
